timestamp,Precision@K,NDCG@K,k
2026-03-10T09:37:31.137563,1.0,1.0,20
2026-03-10T15:11:28.905183,1.0,1.0,20
2026-03-10T15:20:30.732928,1.0,1.0,20
2026-03-10T15:25:11.111227,1.0,1.0,20
2026-03-10T15:27:48.606118,0.5,1.0,10
2026-03-10T16:13:29.988112,1.0,1.0,20
2026-03-10T16:15:59.662413,1.0,1.0,20
2026-03-10T16:16:12.047119,1.0,1.0,20
2026-03-10T16:16:29.064767,1.0,1.0,20
2026-03-10T16:16:31.339189,1.0,1.0,20
2026-03-10T16:16:33.543253,1.0,1.0,20
2026-03-10T16:20:56.633802,1.0,1.0,20
2026-03-10T16:21:13.668197,0.25,1.0,20
2026-03-10T16:21:27.620508,0.25,1.0,20
2026-03-10T16:34:10.010433,0.25,1.0,20
2026-03-10T16:35:11.833129,0.5,1.0,10
2026-03-10T16:37:39.811255,0.25,1.0,20
2026-03-10T16:57:29.625087,0.25,1.0,20
2026-04-07T08:10:01.106392,1.0,1.0,5
2026-04-07T08:11:22.691438,1.0,1.0,20
2026-04-07T08:11:27.288203,1.0,1.0,20
2026-04-07T08:12:44.476120,1.0,1.0,20
2026-04-07T08:12:48.709803,1.0,1.0,20
2026-04-07T08:14:23.063624,1.0,1.0,20
2026-04-07T08:14:27.260099,1.0,1.0,20
2026-04-07T08:16:39.352688,1.0,1.0,20
2026-04-07T08:16:43.634106,1.0,1.0,20
2026-04-07T08:17:52.963698,1.0,1.0,20
2026-04-07T08:17:56.728295,1.0,1.0,20
2026-04-07T08:19:06.971822,1.0,1.0,20
2026-04-07T08:19:11.154287,1.0,1.0,20
2026-04-07T08:20:29.868689,1.0,1.0,20
2026-04-07T08:20:34.036550,1.0,1.0,20
2026-04-07T08:21:42.536654,1.0,1.0,20
2026-04-07T08:21:46.758608,1.0,1.0,20
2026-04-07T08:22:56.196260,1.0,1.0,20
2026-04-07T08:23:00.440296,1.0,1.0,20
2026-04-07T08:24:23.175355,1.0,1.0,20
2026-04-07T08:24:27.589549,1.0,1.0,20
2026-04-07T08:26:16.869531,1.0,1.0,20
2026-04-07T08:26:19.590306,1.0,1.0,20
2026-04-07T08:26:21.009945,1.0,1.0,20
2026-04-07T08:26:21.695827,1.0,1.0,20
2026-04-07T14:14:46.127520,1.0,1.0,20
2026-04-07T15:05:36.033045,1.0,1.0,20
2026-04-07T15:05:54.035568,0.25,1.0,20
2026-04-07T15:06:04.840234,0.25,1.0,20
2026-04-07T15:06:11.201386,0.25,1.0,20
2026-04-07T15:06:17.403950,0.25,1.0,20
2026-04-07T15:06:23.190319,0.25,1.0,20
2026-04-07T15:06:25.622111,0.25,1.0,20
2026-04-07T15:06:25.840199,0.25,1.0,20
2026-04-07T17:51:27.098212,0.25,1.0,20
2026-04-07T17:56:59.214848,0.0,0.0,20
2026-04-07T17:58:47.407722,0.25,1.0,20
2026-04-07T17:59:23.442101,0.25,1.0,20
2026-04-07T18:00:27.602270,0.25,1.0,20
2026-04-07T18:00:35.366037,0.25,1.0,20
2026-04-07T18:00:36.952723,0.25,1.0,20
2026-04-07T18:00:37.174249,0.25,1.0,20
2026-04-07T18:01:08.563338,0.25,1.0,20
2026-04-07T18:01:11.718840,0.25,1.0,20
2026-04-07T18:01:15.184575,0.25,1.0,20
2026-04-07T18:01:15.416594,0.25,1.0,20
2026-04-07T18:28:08.369020,0.25,1.0,20
2026-04-07T18:31:15.218125,0.25,1.0,20
2026-04-07T18:31:24.263802,0.25,1.0,20
2026-04-07T18:31:24.405759,0.25,1.0,20
2026-04-07T18:31:31.814688,0.25,1.0,20
2026-04-07T18:31:34.986286,0.25,1.0,20
2026-04-07T18:31:39.387939,0.25,1.0,20
2026-04-07T18:31:39.592983,0.25,1.0,20
2026-04-07T18:40:07.528045,0.25,1.0,20
2026-04-07T18:40:13.132127,0.25,1.0,20
2026-04-07T18:40:13.277642,0.25,1.0,20
2026-04-07T18:40:15.739697,0.25,1.0,20
2026-04-07T18:40:18.505801,0.25,1.0,20
2026-04-07T18:40:23.393470,0.25,1.0,20
2026-04-07T18:40:23.580310,0.25,1.0,20
2026-04-07T18:54:13.064328,0.25,1.0,20
2026-04-07T18:54:24.536628,0.25,1.0,20
2026-04-07T18:54:24.671621,0.25,1.0,20
2026-04-07T18:55:02.083877,0.25,1.0,20
2026-04-07T18:55:05.127956,0.25,1.0,20
2026-04-07T18:55:05.304961,0.25,1.0,20
2026-04-07T18:55:11.070272,0.25,1.0,20
2026-04-07T18:55:13.621396,0.25,1.0,20
2026-04-07T18:55:16.313161,0.25,1.0,20
2026-04-07T18:55:18.776729,0.25,1.0,20
2026-04-07T18:55:20.831975,0.25,1.0,20
2026-04-07T18:55:23.690656,0.25,1.0,20
2026-04-07T18:55:23.939663,0.25,1.0,20
2026-04-07T19:03:11.170228,0.25,1.0,20
2026-04-07T19:03:57.979157,0.25,1.0,20
2026-04-07T19:04:04.464427,0.25,1.0,20
2026-04-07T19:04:04.587288,0.25,1.0,20
2026-04-07T19:05:30.853497,0.25,1.0,20
2026-04-07T19:06:44.169247,0.25,1.0,20
2026-04-07T19:09:01.631326,0.25,1.0,20
2026-04-07T19:09:10.775019,0.25,1.0,20
2026-04-07T19:09:12.690335,0.25,1.0,20
2026-04-07T19:09:14.292854,0.25,1.0,20
2026-04-07T19:09:14.463793,0.25,1.0,20
2026-04-07T14:46:18.126215,1.0,1.0,5
2026-04-07T14:46:48.352005,1.0,1.0,20
2026-04-07T15:11:34.970664,0.45,0.352,20
2026-04-07T15:12:46.376727,1.0,1.0,5
2026-04-11T10:47:41.521074,1.0,1.0,20
2026-04-11T11:34:58.065368,0.25,1.0,20
2026-04-11T11:35:03.391058,0.25,1.0,20
2026-04-11T11:35:03.542313,0.25,1.0,20
2026-04-22T12:57:22.140101,1.0,1.0,20
2026-04-22T14:46:47.911012,1.0,1.0,10
2026-04-22T14:51:54.254387,0.5,1.0,10
2026-04-22T14:55:33.856961,0.25,1.0,20
2026-04-22T15:10:44.175117,0.1,0.2604,20
2026-04-22T15:16:46.984631,0.5,1.0,10
2026-04-22T15:17:13.820267,1.0,1.0,20
2026-04-22T15:19:27.093880,1.0,1.0,20
2026-04-22T16:22:56.218162,0.25,1.0,20
2026-04-22T16:22:58.674968,0.25,1.0,20
2026-04-22T16:22:58.827849,0.25,1.0,20
2026-04-22T16:33:30.388990,0.25,1.0,20
2026-04-22T16:33:32.573670,0.25,1.0,20
2026-04-22T16:33:32.737806,0.25,1.0,20
2026-04-22T16:49:04.388577,0.25,1.0,20
2026-04-22T17:03:35.962713,0.25,1.0,20
2026-04-22T17:03:36.378562,0.25,1.0,20
